share_code,name,fund_type,status,inception_date,end_date,known_at,source,family_id,end_known_at,source_ts_code,canonical_fund_id,is_representative
022351,嘉实中证全指集成电路ETF联接-C,指数型-股票,存续,2025-06-04,,2025-06-04,tushare_fund_basic,嘉实基金管理有限公司,,022351.OF,022350,False
022358,民生加银龙头优选股票-C,股票型,存续,2024-10-21,,2024-10-21,tushare_fund_basic,民生加银基金管理有限公司,,022358.OF,022358,True
022366,贝莱德沪深300指数增强-A,指数型-股票,存续,2024-11-26,,2024-11-26,tushare_fund_basic,贝莱德基金管理有限公司,,022366.OF,022366,True
022367,贝莱德沪深300指数增强-C,指数型-股票,存续,2024-11-26,,2024-11-26,tushare_fund_basic,贝莱德基金管理有限公司,,022367.OF,022366,False
022371,鹏华弘泰灵活配置混合-D,混合型-灵活,存续,2024-10-22,,2024-10-22,tushare_fund_basic,鹏华基金管理有限公司,,022371.OF,022371,True
022382,建信中证A股指数增强-A,指数型-股票,存续,2025-03-25,,2025-03-25,tushare_fund_basic,建信基金管理有限责任公司,,022382.OF,022382,True
022383,建信中证A股指数增强-C,指数型-股票,存续,2025-03-25,,2025-03-25,tushare_fund_basic,建信基金管理有限责任公司,,022383.OF,022382,False
022384,华夏中证信息技术应用创新产业ETF联接-A,指数型-股票,存续,2024-11-26,,2024-11-26,tushare_fund_basic,华夏基金管理有限公司,,022384.OF,022384,True
022385,华夏中证信息技术应用创新产业ETF联接-C,指数型-股票,存续,2024-11-26,,2024-11-26,tushare_fund_basic,华夏基金管理有限公司,,022385.OF,022384,False
022386,华夏中证汽车零部件主题ETF联接-A,指数型-股票,存续,2024-11-19,,2024-11-19,tushare_fund_basic,华夏基金管理有限公司,,022386.OF,022386,True
022387,华夏中证汽车零部件主题ETF联接-C,指数型-股票,存续,2024-11-19,,2024-11-19,tushare_fund_basic,华夏基金管理有限公司,,022387.OF,022386,False
022418,金鹰鑫瑞灵活配置混合-D,混合型-灵活,存续,2024-10-25,,2024-10-25,tushare_fund_basic,金鹰基金管理有限公司,,022418.OF,022418,True
022421,大成中证A500ETF联接-A,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,大成基金管理有限公司,,022421.OF,022421,True
022422,大成中证A500ETF联接-C,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,大成基金管理有限公司,,022422.OF,022421,False
022423,大成中证A500ETF联接-E,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,大成基金管理有限公司,,022423.OF,022421,False
022424,广发中证A500ETF联接-A,指数型-股票,存续,2024-11-05,,2024-11-05,tushare_fund_basic,广发基金管理有限公司,,022424.OF,022424,True
022425,广发中证A500ETF联接-C,指数型-股票,存续,2024-11-05,,2024-11-05,tushare_fund_basic,广发基金管理有限公司,,022425.OF,022424,False
022426,泰康中证A500ETF联接-A,指数型-股票,存续,2024-10-29,,2024-10-29,tushare_fund_basic,泰康基金管理有限公司,,022426.OF,022426,True
022427,泰康中证A500ETF联接-C,指数型-股票,存续,2024-10-29,,2024-10-29,tushare_fund_basic,泰康基金管理有限公司,,022427.OF,022426,False
022428,天弘中证A500ETF联接-A,指数型-股票,存续,2024-11-07,,2024-11-07,tushare_fund_basic,天弘基金管理有限公司,,022428.OF,022428,True
022429,天弘中证A500ETF联接-C,指数型-股票,存续,2024-11-07,,2024-11-07,tushare_fund_basic,天弘基金管理有限公司,,022429.OF,022428,False
022430,华夏中证A500ETF联接-A,指数型-股票,存续,2024-10-31,,2024-10-31,tushare_fund_basic,华夏基金管理有限公司,,022430.OF,022430,True
022431,华夏中证A500ETF联接-C,指数型-股票,存续,2024-10-31,,2024-10-31,tushare_fund_basic,华夏基金管理有限公司,,022431.OF,022430,False
022432,中欧中证A500指数-A,指数型-股票,存续,2024-11-04,,2024-11-04,tushare_fund_basic,中欧基金管理有限公司,,022432.OF,022432,True
022433,中欧中证A500指数-C,指数型-股票,存续,2024-11-04,,2024-11-04,tushare_fund_basic,中欧基金管理有限公司,,022433.OF,022432,False
022434,南方中证A500ETF联接-A,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,南方基金管理股份有限公司,,022434.OF,022434,True
022435,南方中证A500ETF联接-C,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,南方基金管理股份有限公司,,022435.OF,022434,False
022436,摩根中证A500ETF联接-A,指数型-股票,存续,2024-11-11,,2024-11-11,tushare_fund_basic,摩根基金管理(中国)有限公司,,022436.OF,022436,True
022437,摩根中证A500ETF联接-C,指数型-股票,存续,2024-11-11,,2024-11-11,tushare_fund_basic,摩根基金管理(中国)有限公司,,022437.OF,022436,False
022438,华泰柏瑞中证A500ETF联接-A,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,华泰柏瑞基金管理有限公司,,022438.OF,022438,True
022439,华泰柏瑞中证A500ETF联接-C,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,华泰柏瑞基金管理有限公司,,022439.OF,022438,False
022440,万家中证A500ETF联接-A,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,万家基金管理有限公司,,022440.OF,022440,True
022441,万家中证A500ETF联接-C,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,万家基金管理有限公司,,022441.OF,022440,False
022442,工银瑞信中证A500ETF联接-A,指数型-股票,存续,2024-11-26,,2024-11-26,tushare_fund_basic,工银瑞信基金管理有限公司,,022442.OF,022442,True
