date,close,pe
2023-11-24,6198.52,14.51
2023-11-27,6201.95,14.55
2023-11-28,6224.34,14.81
2023-11-29,6096.62,14.67
2023-11-30,6177.51,14.93
2023-12-01,6072.3,14.68
2023-12-04,5963.18,14.44
2023-12-05,5877.98,14.22
2023-12-06,5918.62,14.3
2023-12-07,5881.89,14.2
2023-12-08,5877.51,14.16
2023-12-11,5837.04,14.15
2023-12-12,5953.49,14.45
2023-12-13,5891.23,14.33
2023-12-14,5877.22,14.3
2023-12-15,6015.41,17.09
2023-12-18,5973.55,17.0
2023-12-19,5960.67,17.04
2023-12-20,5969.42,17.08
2023-12-21,5991.02,17.12
2023-12-22,5621.74,15.9
2023-12-25,5621.88,15.9
2023-12-26,5624.03,15.92
2023-12-27,5771.59,16.36
2023-12-28,5925.91,16.76
2023-12-29,5914.42,16.72
2024-01-01,5914.42,16.72
2024-01-02,5874.64,16.7
2024-01-03,5882.27,16.77
2024-01-04,5890.22,16.79
2024-01-05,5793.76,16.49
2024-01-08,5683.02,16.23
2024-01-09,5638.02,16.17
2024-01-10,5606.65,16.04
2024-01-11,5728.02,16.36
2024-01-12,5698.73,16.27
2024-01-15,5655.56,16.17
2024-01-16,5519.14,15.76
2024-01-17,5325.39,15.28
2024-01-18,5377.02,15.29
2024-01-19,5308.8,15.12
2024-01-22,5185.72,14.8
2024-01-23,5338.14,15.24
2024-01-24,5588.38,15.9
2024-01-25,5669.12,16.17
2024-01-26,5515.77,15.76
2024-01-29,5500.66,15.63
2024-01-30,5338.85,15.16
2024-01-31,5256.98,14.98
2024-02-01,5327.23,15.14
2024-02-02,5325.59,15.18
2024-02-05,5312.8,15.12
2024-02-06,5612.81,15.91
2024-02-07,5582.86,15.88
2024-02-08,5461.1,15.53
2024-02-09,5427.79,15.45
2024-02-12,5459.19,15.56
2024-02-13,5437.83,15.49
2024-02-14,5558.23,15.77
2024-02-15,5574.95,15.83
2024-02-16,5702.39,16.15
2024-02-19,5592.4,15.85
2024-02-20,5589.14,15.81
2024-02-21,5664.3,15.97
2024-02-22,5758.14,16.19
2024-02-23,5749.74,16.1
2024-02-26,5707.78,15.96
2024-02-27,5740.99,16.04
2024-02-28,5621.92,15.74
2024-02-29,5588.74,15.64
2024-03-01,5655.14,15.7
2024-03-04,5605.68,15.51
2024-03-05,5413.46,15.01
2024-03-06,5514.37,15.23
2024-03-07,5450.3,15.1
2024-03-08,5431.46,15.0
2024-03-11,5580.45,15.36
2024-03-12,5830.41,16.02
2024-03-13,5849.77,16.08
2024-03-14,5814.63,16.03
2024-03-15,5719.02,15.82
2024-03-18,5796.92,16.07
2024-03-19,5732.23,15.89
2024-03-20,5790.08,16.1
2024-03-21,5807.65,16.06
2024-03-22,5711.03,15.85
2024-03-25,5703.08,15.74
2024-03-26,5775.93,15.98
2024-03-27,5697.29,15.8
2024-03-28,5787.59,15.96
2024-03-29,5786.02,15.96
