序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
83,015585,国泰优势行业混合C,2026-07-31,4.0218,4.0218,2.72,-10.06,-25.23,42.7,47.45,127.94,154.67,140.8,58.89,110.48,125.2983,0.00%
84,009707,工银新兴制造混合A,2026-07-31,4.5311,4.5311,1.65,-9.12,-29.2,15.91,31.0,127.91,258.13,245.78,56.47,353.11,129.2023,0.15%
85,020470,长城半导体混合发起式C,2026-07-31,3.404,3.404,4.76,-11.52,-28.62,9.7,34.13,127.12,235.7,,60.74,240.4,125.3409,0.00%
86,009708,工银新兴制造混合C,2026-07-31,4.4222,4.4222,1.65,-9.12,-29.23,15.79,30.73,126.9,255.05,241.43,56.03,342.22,128.1955,0.00%
87,001723,华商新动力混合A,2026-07-31,1.8117,1.8117,2.26,-5.7,-19.66,31.42,40.4,126.75,208.95,167.33,74.37,81.17,122.8413,0.15%
88,019830,华夏数字产业混合C,2026-07-31,3.5271,3.5271,5.55,-8.12,-35.01,-2.15,35.63,126.66,259.36,,41.87,252.71,128.7354,0.00%
89,740001,长安宏观策略混合A,2026-07-31,3.149,3.969,3.76,-15.62,-37.2,-11.82,28.01,126.22,174.06,108.54,30.94,415.38,131.374,0.15%
90,017927,华商新动力混合C,2026-07-31,1.7754,1.7754,2.26,-5.71,-19.71,31.22,39.98,125.42,205.21,162.52,73.77,146.72,121.5373,0.00%
91,008326,东财通信A,2026-07-31,3.7851,3.7851,5.73,-10.0,-35.21,-7.28,26.47,125.29,246.4,242.2,36.0,278.51,129.1223,0.10%
92,016579,长安宏观策略混合C,2026-07-31,3.089,3.089,3.76,-15.62,-37.22,-11.92,27.7,125.15,171.44,105.52,30.56,135.98,130.3505,0.00%
93,000742,国泰新经济灵活配置混合A,2026-07-31,4.781,5.687,2.8,-10.06,-26.3,41.24,46.93,124.88,150.97,137.39,58.26,702.48,122.9944,0.15%
94,008327,东财通信C,2026-07-31,3.7238,3.7238,5.74,-10.0,-35.22,-7.34,26.31,124.75,244.7,239.64,35.81,272.38,128.5662,0.00%
95,014989,国泰新经济灵活配置混合C,2026-07-31,4.714,4.714,2.79,-10.07,-26.31,41.18,46.72,124.26,149.55,135.11,57.98,91.94,122.3585,0.00%
96,010335,华宝竞争优势混合A,2026-07-31,1.3855,1.3855,2.48,-10.53,-31.63,18.55,21.19,123.54,203.37,140.41,52.94,38.55,121.2905,0.15%
97,019925,华宝竞争优势混合C,2026-07-31,1.3706,1.3706,2.47,-10.54,-31.66,18.38,20.84,122.18,199.98,,52.49,173.74,119.9647,0.00%
98,010415,华泰柏瑞质量精选混合A,2026-07-31,1.7127,1.7127,5.09,-11.84,-41.2,-12.82,24.07,121.57,230.13,165.16,35.57,71.27,123.8824,0.15%
99,010416,华泰柏瑞质量精选混合C,2026-07-31,1.6693,1.6693,5.09,-11.85,-41.23,-12.92,23.9,120.72,227.25,161.48,35.33,66.93,123.079,0.00%
100,007349,华夏科技创新混合A,2026-07-31,3.0016,3.0016,2.03,-3.4,-23.06,26.23,49.18,120.45,178.16,83.76,60.8,200.16,120.0587,0.15%
101,021593,上银数字经济混合发起式A,2026-07-31,2.5004,2.5004,2.26,-7.86,-25.03,31.06,41.15,120.28,,,66.45,150.04,121.3331,0.15%
102,310358,申万菱信新经济混合A,2026-07-31,2.0264,4.0607,2.85,-6.72,-27.59,11.04,28.7,120.05,151.38,102.44,53.92,720.15,119.9501,0.15%
103,001753,红土创新新兴产业混合A,2026-07-31,3.738,3.738,5.5,-12.5,-39.07,-11.92,22.68,120.01,272.68,207.65,36.67,273.8,127.7879,0.15%
104,021594,上银数字经济混合发起式C,2026-07-31,2.4819,2.4819,2.26,-7.87,-25.05,30.93,40.86,119.54,,,66.07,148.19,120.5937,0.00%
105,006265,红土创新新科技股票A,2026-07-31,7.4306,7.4806,5.19,-13.6,-40.82,-9.59,24.22,119.39,245.56,177.62,44.14,654.36,121.9481,0.15%
106,519935,长信创新驱动股票A,2026-07-31,3.236,3.236,2.89,-8.66,-27.7,6.24,24.99,119.24,228.86,164.38,35.45,223.6,122.5585,0.15%
107,007350,华夏科技创新混合C,2026-07-31,2.8688,2.8688,2.02,-3.42,-23.11,25.98,48.6,118.71,173.58,79.3,60.05,186.88,118.3423,0.00%
108,022735,申万菱信新经济混合C,2026-07-31,1.9284,1.9745,2.85,-6.73,-27.62,10.92,28.03,118.44,,,53.06,109.91,118.3436,0.00%
109,002692,富国创新科技混合A,2026-07-31,3.616,3.616,4.87,-12.76,-41.49,-14.96,19.38,117.57,189.74,149.04,26.57,261.6,118.2257,0.15%
110,001513,易方达信息产业混合A,2026-07-31,7.488,7.608,3.73,-10.94,-31.85,3.67,30.36,117.48,241.26,218.26,38.35,665.1,120.9353,0.15%
111,501026,财通多策略福享混合(LOF)A,2026-07-31,2.1787,2.1787,4.35,-6.89,-31.64,4.03,35.38,117.22,207.21,186.82,40.15,117.87,118.3066,0.15%
112,019018,易方达信息产业混合C,2026-07-31,7.382,7.502,3.72,-10.95,-31.88,3.55,30.06,116.37,237.87,,37.98,255.21,119.8327,0.00%
113,011120,富国创新科技混合C,2026-07-31,3.497,3.497,4.89,-12.77,-41.51,-15.08,19.03,116.26,186.4,144.55,26.11,39.77,116.9355,0.00%
114,022364,永赢科技智选混合发起A,2026-07-31,4.7586,4.7586,5.31,-7.93,-24.36,-0.89,21.24,115.92,,,25.91,375.86,122.6037,0.15%
115,000017,财通可持续混合A,2026-07-31,3.33,5.149,4.59,-6.7,-31.58,5.68,36.2,115.81,206.11,185.18,41.4,792.33,116.9381,0.15%
116,008528,华泰柏瑞质量成长A,2026-07-31,2.3885,2.3885,5.15,-12.35,-42.13,-15.35,20.17,115.57,211.16,145.65,34.32,138.85,118.8474,0.15%
117,012696,同泰数字经济股票A,2026-07-31,1.7187,1.7187,4.65,-7.57,-30.19,9.92,23.95,115.4,216.93,174.86,45.1,71.87,122.3128,0.15%
