date,close
2017-03-09,1748.26
2017-03-10,1743.734
2017-03-13,1763.497
2017-03-14,1745.674
2017-03-15,1748.494
2017-03-16,1755.861
2017-03-17,1740.071
2017-03-20,1742.983
2017-03-21,1747.917
2017-03-22,1727.073
2017-03-23,1722.168
2017-03-24,1735.816
2017-03-27,1722.379
2017-03-28,1717.162
2017-03-29,1701.05
2017-03-30,1661.714
2017-03-31,1676.407
2017-04-05,1712.022
2017-04-06,1712.372
2017-04-07,1714.245
2017-04-10,1677.243
2017-04-11,1679.996
2017-04-12,1660.042
2017-04-13,1674.128
2017-04-14,1650.396
2017-04-17,1635.971
2017-04-18,1608.334
2017-04-19,1613.017
2017-04-20,1612.472
2017-04-21,1599.168
2017-04-24,1565.989
2017-04-25,1574.991
2017-04-26,1571.642
2017-04-27,1593.179
2017-04-28,1599.755
2017-05-02,1600.714
2017-05-03,1596.802
2017-05-04,1596.236
2017-05-05,1576.801
2017-05-08,1560.462
2017-05-09,1579.782
2017-05-10,1554.526
2017-05-11,1554.58
2017-05-12,1552.68
2017-05-15,1552.36
2017-05-16,1582.516
2017-05-17,1596.056
2017-05-18,1587.763
2017-05-19,1577.254
2017-05-22,1560.673
2017-05-23,1531.226
2017-05-24,1544.421
2017-05-25,1550.297
2017-05-26,1534.726
2017-05-31,1535.414
2017-06-01,1502.019
2017-06-02,1528.137
2017-06-05,1542.617
2017-06-06,1547.386
2017-06-07,1578.765
2017-06-08,1572.946
2017-06-09,1575.838
2017-06-12,1551.773
2017-06-13,1575.093
2017-06-14,1571.494
2017-06-15,1602.318
2017-06-16,1598.255
2017-06-19,1602.498
2017-06-20,1605.679
2017-06-21,1607.744
2017-06-22,1580.759
2017-06-23,1586.989
2017-06-26,1597.971
2017-06-27,1595.833
2017-06-28,1582.591
2017-06-29,1588.31
2017-06-30,1588.868
2017-07-03,1608.0
2017-07-04,1599.824
2017-07-05,1611.547
2017-07-06,1611.707
2017-07-07,1611.403
2017-07-10,1579.275
2017-07-11,1560.913
2017-07-12,1564.943
2017-07-13,1552.384
2017-07-14,1525.699
2017-07-17,1443.277
2017-07-18,1457.101
2017-07-19,1469.969
2017-07-20,1475.303
2017-07-21,1478.865
2017-07-24,1476.103
2017-07-25,1479.847
2017-07-26,1477.212
2017-07-27,1534.027
2017-07-28,1525.52
2017-07-31,1528.531
2017-08-01,1535.219
2017-08-02,1524.249
2017-08-03,1532.469
2017-08-04,1519.999
2017-08-07,1528.69
2017-08-08,1544.273
2017-08-09,1547.848
2017-08-10,1536.739
2017-08-11,1526.879
2017-08-14,1576.238
2017-08-15,1581.15
2017-08-16,1612.637
2017-08-17,1625.342
2017-08-18,1611.901
2017-08-21,1618.369
2017-08-22,1604.193
2017-08-23,1595.537
2017-08-24,1583.962
2017-08-25,1604.649
2017-08-28,1636.032
2017-08-29,1624.064
2017-08-30,1627.19
2017-08-31,1637.897
2017-09-01,1660.044
2017-09-04,1677.67
2017-09-05,1673.712
2017-09-06,1695.962
2017-09-07,1684.517
2017-09-08,1676.208
2017-09-11,1694.985
2017-09-12,1677.443
2017-09-13,1683.96
2017-09-14,1673.199
2017-09-15,1668.192
2017-09-18,1679.041
2017-09-19,1659.559
2017-09-20,1675.474
2017-09-21,1652.635
2017-09-22,1651.583
2017-09-25,1623.171
2017-09-26,1622.107
2017-09-27,1640.998
2017-09-28,1640.929
2017-09-29,1653.235
2017-10-09,1679.745
2017-10-10,1699.35
2017-10-11,1678.46
2017-10-12,1681.964
2017-10-13,1715.15
2017-10-16,1667.312
2017-10-17,1661.236
2017-10-18,1652.986
2017-10-19,1642.116
2017-10-20,1664.014
2017-10-23,1680.63
2017-10-24,1684.957
2017-10-25,1693.432
2017-10-26,1685.772
2017-10-27,1669.088
2017-10-30,1619.14
2017-10-31,1634.871
2017-11-01,1626.133
2017-11-02,1598.744
2017-11-03,1587.109
2017-11-06,1601.762
2017-11-07,1610.116
2017-11-08,1624.327
2017-11-09,1644.861
2017-11-10,1654.02
2017-11-13,1659.329
2017-11-14,1646.994
2017-11-15,1619.662
2017-11-16,1621.024
2017-11-17,1583.534
2017-11-20,1605.132
2017-11-21,1610.984
2017-11-22,1606.488
2017-11-23,1561.37
2017-11-24,1553.642
2017-11-27,1540.155
2017-11-28,1573.328
2017-11-29,1567.187
2017-11-30,1554.121
2017-12-01,1589.795
2017-12-04,1579.418
2017-12-05,1542.988
2017-12-06,1563.483
2017-12-07,1552.401
2017-12-08,1567.328
2017-12-11,1590.194
2017-12-12,1578.081
2017-12-13,1580.377
2017-12-14,1567.664
2017-12-15,1560.814
2017-12-18,1555.764
2017-12-19,1572.524
2017-12-20,1551.607
2017-12-21,1554.678
2017-12-22,1542.868
2017-12-25,1514.838
2017-12-26,1519.88
2017-12-27,1513.982
2017-12-28,1515.517
2017-12-29,1519.752
2018-01-02,1530.447
2018-01-03,1562.519
2018-01-04,1556.52
2018-01-05,1558.465
2018-01-08,1556.457
2018-01-09,1550.722
2018-01-10,1540.921
2018-01-11,1552.261
2018-01-12,1527.014
2018-01-15,1476.942
2018-01-16,1472.806
2018-01-17,1483.91
2018-01-18,1479.201
2018-01-19,1475.966
2018-01-22,1516.863
2018-01-23,1512.796
2018-01-24,1566.014
2018-01-25,1563.605
2018-01-26,1567.957
2018-01-29,1564.426
2018-01-30,1547.036
2018-01-31,1502.195
2018-02-01,1467.686
2018-02-02,1476.918
2018-02-05,1466.078
2018-02-06,1387.025
2018-02-07,1406.399
2018-02-08,1429.506
2018-02-09,1381.991
2018-02-12,1432.75
2018-02-13,1430.019
2018-02-14,1422.573
2018-02-22,1455.929
2018-02-23,1452.573
2018-02-26,1512.015
2018-02-27,1530.324
2018-02-28,1540.488
2018-03-01,1569.382
2018-03-02,1549.872
2018-03-05,1574.757
2018-03-06,1572.486
2018-03-07,1554.438
2018-03-08,1560.318
2018-03-09,1626.576
2018-03-12,1655.33
2018-03-13,1648.219
2018-03-14,1623.077
2018-03-15,1635.036
2018-03-16,1604.475
2018-03-19,1625.496
2018-03-20,1641.312
2018-03-21,1605.617
2018-03-22,1594.097
