date,equity,n_pos,drawdown
2009-09-24,104359.81642167996,1,-0.013329021725608348
2009-09-25,104315.06068867365,1,-0.013752165272453043
2009-09-28,104147.22668989995,1,-0.01533895357312065
2009-09-29,104124.84882339678,1,-0.01555052534654311
2009-09-30,104183.1428075454,3,-0.014999384262363469
2009-10-09,105321.80269246068,3,-0.004233912444824295
2009-10-12,105403.89282847288,3,-0.0034577903934155385
2009-10-13,105759.45711150959,3,-9.610415236560588e-05
2009-10-14,105928.55206172292,3,0.0
2009-10-15,106077.23025248788,3,0.0
2009-10-16,106183.16137721196,3,0.0
2009-10-19,106761.73836451085,3,0.0
2009-10-20,107131.066066864,3,0.0
2009-10-21,107004.39504189792,3,-0.0011823930220858925
2009-10-22,106939.24987615991,3,-0.0017904814891356313
2009-10-23,107389.7640972987,3,0.0
2009-10-26,107538.44860218087,3,0.0
2009-10-27,106960.25420556395,3,-0.005376629513745734
2009-10-28,107064.09693909154,3,-0.004410995967071285
2009-10-29,106609.90949626622,3,-0.008634484856198887
2009-10-30,107029.78390032453,3,-0.004730072903860183
2009-11-02,108033.56191636846,3,0.0
2009-11-03,108486.86039930076,3,0.0
2009-11-04,108559.33808933507,3,0.0
2009-11-05,108637.97390201117,3,0.0
2009-11-06,108724.36810455809,3,0.0
2009-11-09,108825.10343549855,3,0.0
2009-11-10,109010.42292602823,3,0.0
2009-11-11,109013.07990368002,3,0.0
2009-11-12,109108.47114409562,3,0.0
2009-11-13,109372.52234652825,3,0.0
2009-11-16,110108.54026852001,3,0.0
2009-11-17,110062.7893040784,3,-0.0004155078646037591
2009-11-18,110047.19206184891,3,-0.0005571612022237105
2009-11-19,110217.5899475521,3,0.0
2009-11-20,110200.07915817853,3,-0.00015887472573028472
2009-11-23,110699.94341707484,3,0.0
2009-11-24,109504.10095616059,3,-0.01080255711070044
2009-11-25,110326.9642438914,3,-0.0033692806127118002
2009-11-26,109031.43836600446,3,-0.01507232072182818
2009-11-27,108409.66388772936,3,-0.0206890758807039
2009-11-30,109488.53455323313,3,-0.010943175095199376
2009-12-01,109980.88175741665,3,-0.0064955919349394264
2009-12-02,110308.92292127534,3,-0.0035322556067286515
2009-12-03,110199.25308903799,3,-0.004522950171261142
2009-12-04,110299.45981372145,3,-0.0036177399101688934
2009-12-07,110495.76817092163,3,-0.0018444024436756745
2009-12-08,110199.74815748274,3,-0.004518478005969384
2009-12-09,109666.83501681985,3,-0.009332510644225356
2009-12-10,109836.42689520537,3,-0.007800514573129247
2009-12-11,109876.00181509956,3,-0.007443017372384619
2009-12-14,109994.50942826239,3,-0.0063724873476641575
2009-12-15,109880.52603418496,3,-0.007402148163731526
2009-12-16,109690.1881300353,3,-0.009121551970764585
2009-12-17,108851.99008817499,3,-0.016693353870448457
2009-12-18,108054.5584797452,3,-0.02389689511730686
2009-12-21,108110.38953738805,3,-0.02339254926202039
2009-12-22,107464.82089811473,3,-0.02922424726787265
2009-12-23,107791.76444381199,3,-0.02627082619460741
2009-12-24,108763.76509353294,3,-0.017490328032482627
2009-12-25,108749.28733874815,3,-0.017621111792057276
2009-12-28,109229.2611031826,3,-0.01328530321240795
2009-12-29,109496.28724303097,3,-0.010873141727895552
2009-12-30,109872.3791783561,3,-0.007475742201608848
2009-12-31,109941.55965204671,2,-0.006850805353809775
2010-01-04,109801.4952624811,2,-0.008116066972218228
2010-01-05,109878.61051183294,2,-0.007419451897526574
2010-01-06,109782.09526879643,2,-0.00829131542389605
2010-01-07,109325.11680716292,2,-0.012419397584803704
2010-01-08,109382.43009964834,2,-0.011901662067365537
2010-01-11,109355.94635446262,2,-0.012140901080216038
2010-01-12,109669.15860182571,2,-0.009311520705711063
2010-01-13,109119.5280646788,2,-0.014276568746215523
2010-01-14,109478.38133975281,2,-0.01103489342103503
2010-01-15,108838.35892041262,2,-0.016816490046869248
2010-01-18,108998.949218731,2,-0.015365809103760397
2010-01-19,108975.6860575232,2,-0.015575955202211
2010-01-20,108307.24238531376,2,-0.021614293177606325
2010-01-21,108350.63018902457,2,-0.02122235256434568
2010-01-22,107982.51991292651,2,-0.024547650344410088
2010-01-25,107783.21029864793,2,-0.02634809945148553
2010-01-26,107309.89038755737,2,-0.030623800924134637
2010-01-27,107116.4572413706,2,-0.03237116537813434
2010-01-28,107223.11478013577,2,-0.031407682150655813
2010-01-29,107254.74964766296,2,-0.031121910843546874
2010-02-01,106981.38332826017,2,-0.03359134588537749
2010-02-02,106927.04790859323,2,-0.03408218100226834
2010-02-03,107279.30146062112,2,-0.030900123801925194
2010-02-04,107237.52360043328,2,-0.031277521105828265
2010-02-05,106826.50815521531,2,-0.03499039965418871
2010-02-08,106800.10508143876,2,-0.03522890992765004
2010-02-09,106871.42523103993,2,-0.03458464447095988
2010-02-10,107155.33650628512,2,-0.03201995232675958
2010-02-11,107207.65932231535,2,-0.03154729792048683
2010-02-12,107430.87607521091,2,-0.029530885391217843
2010-02-22,107352.3115282224,2,-0.03024059259217371
2010-02-23,107302.00061889687,2,-0.030695072583513672
2010-02-24,107646.1230849688,2,-0.027586466965031975
2010-02-25,107940.74065887468,2,-0.02492506023968366
2010-02-26,107961.91124196861,2,-0.024733817295555238
2010-03-01,108116.30378042258,2,-0.023339123371708514
2010-03-02,108064.22228168779,2,-0.023809597855499076
2010-03-03,108171.36315197585,2,-0.02284174848737075
2010-03-04,107674.69940826835,2,-0.027328324797859516
2010-03-05,107724.76830336645,2,-0.02687603102468694
2010-03-08,107911.1176980522,2,-0.025192657131859808
2010-03-09,107973.26151803849,2,-0.02463128539066428
2010-03-10,107824.10147026714,2,-0.025978711985178093
2010-03-11,107786.9927947619,2,-0.026313930544102138
2010-03-12,107505.01345174426,2,-0.028861170717073503
2010-03-15,107193.81380801789,2,-0.03167237038096038
2010-03-16,107331.62357971935,2,-0.030427475691337635
2010-03-17,107770.16871071394,2,-0.02646590970080842
2010-03-18,107751.49336584761,2,-0.026634612089354137
2010-03-19,107879.24151322956,2,-0.025480608361451162
2010-03-22,107996.60535065543,2,-0.024420410552824512
2010-03-23,107929.30971139566,2,-0.025028320883963784
