code,name,entry_date,exit_date,entry_px,exit_px,entry_S,exit_S,exit_reason,hold_days,alloc_yuan,net_ret,pnl_yuan
610001,信澳领先增长混合A,2011-06-30,2011-12-15,1.2102,0.9883,89.3,,trail_20%,168,16655.22,-0.1766,-2942.0
100029,富国天成红利混合,2011-10-31,2012-11-27,1.2453,1.0074,92.5,,trail_20%,393,14688.29,-0.1963,-2883.15
080002,长盛创新先锋混合A,2012-01-31,2012-11-27,0.9811,0.9139,94.8,74.0,cppi_cap0,301,14315.3,-0.0745,-1067.07
162201,宏利成长混合,2012-10-31,2012-11-27,0.9724,0.8801,97.7,97.7,cppi_cap0,27,14351.55,-0.1008,-1446.55
020001,国泰金鹰增长混合,2012-11-30,2014-05-19,0.692,0.956,75.0,,trail_20%,535,13029.39,0.3505,4566.2
080002,长盛创新先锋混合A,2012-11-30,2014-12-22,0.9022,1.1577,75.4,,trail_20%,752,14753.63,0.2346,3461.29
100029,富国天成红利混合,2012-11-30,2014-12-31,0.9998,1.4181,73.2,39.4,S<45,761,15991.86,0.3334,5330.94
110002,易方达策略成长混合,2012-11-30,2014-09-30,3.018,3.862,74.2,43.5,S<45,669,16444.1,0.2281,3751.21
112002,易方达策略成长二号混合,2012-11-30,2014-09-30,1.163,1.613,73.4,42.6,S<45,669,15436.65,0.3339,5154.25
162201,宏利成长混合,2012-11-30,2014-05-15,0.8851,1.1557,77.1,,trail_20%,531,13484.7,0.2692,3630.4
