code,name,start,w2,w1,r4_24,r4_25
019991,中欧红利精选混合发起A,2024-07-16,0.2620622970990405,0.06254449402553819,,0.05893414792222851
023461,中欧中证人工智能主题指数发起A,2025-04-02,,0.6492193281971379,,
023757,鹏华上证科创综合ETF联接A,2025-04-08,,0.31324220763664457,,
022902,富国中证A500ETF发起式联接Y,2024-12-13,,0.17316643455511294,,0.0037486339259260593
023418,宏利中证A50指数增强A,2025-05-20,,0.12165809286119766,,
023441,前海开源北证50成份指数发起A,2025-03-11,,-0.2192009471138069,,
020983,博时国证消费电子主题指数发起式A,2024-04-23,0.8755098089068425,0.4627937886793463,,-0.06932661346541735
022759,摩根中证A500ETF联接I,2024-12-09,,0.16732333038553704,,0.0024383079316092626
021711,南方周期优选混合发起A,2024-09-19,,0.2529438007576097,,0.05177008888879109
024578,万家中证800自由现金流ETF联接A,2025-07-31,,0.06672014305787788,,
019870,华泰柏瑞中证2000ETF发起式联接A,2023-11-15,0.5065247896272083,0.05318403246403247,-0.09177672996132247,0.01582531613298732
018956,中航机遇领航混合发起A,2023-08-10,2.590019541145113,0.8498348307058994,-0.036019027386205105,0.27039294985565454
024274,东兴中证A500指数增强A,2025-07-01,,0.19772880553212646,,
019071,嘉实国证通信ETF发起联接A,2023-09-11,1.4155358758461785,0.6812196065533715,0.0009978505786014669,0.041381534550338994
023629,平安鑫享混合F,2025-03-13,,0.027273673161071654,,
020162,华安睿信优选混合A,2024-01-18,0.21106346333486625,-0.021319804039379386,,0.011830839537376958
023393,宝盈创新医疗混合发起式A,2025-06-04,,-0.2338650293786717,,
017261,大成成长领航一年持有混合A,2024-05-07,0.13104443267274246,0.011687072701021206,,0.05050311369797256
020972,易方达机器人ETF联接A,2024-05-21,0.42554219205225996,-0.01769919858787894,,-0.1275555580802622
024363,华富中证港股通创新药指数型发起式A,2025-06-05,,-0.16019201887077172,,
023830,华泰柏瑞创业板50ETF联接A,2025-05-16,,0.4450481507668065,,
023371,国泰创业板50ETF发起联接A,2025-03-13,,0.4874560144440965,,
022704,银河科技成长混合发起式A,2024-12-27,,0.819822323334991,,
024073,上银国证自由现金流指数A,2025-06-26,,0.09585214561226207,,
022936,国泰沪深300指数Y,2024-12-12,,0.16209290664917586,,0.017983390436471902
022090,富安达沪深300指数增强A,2024-11-26,,0.15330776876698415,,0.004003862744577313
022344,景顺长城红利量化选股股票A,2025-01-24,,0.06091873928019975,,
023674,德邦新兴产业混合发起式A,2025-03-25,,-0.23967747310105358,,
022450,银华中证A500ETF发起式联接A,2024-11-13,,0.1645681595170525,,0.000975829005704254
019365,汇添富中证国新央企股东回报ETF联接A,2024-02-02,0.22086054708994562,0.08862592813140613,,0.0333362294749564
023384,平安中证人工智能主题ETF发起式联接A,2025-04-29,,0.5651442707573926,,
022144,银华中证高股息策略ETF发起式联接A,2024-12-03,,0.05522345517487981,,0.041630427257232316
023821,泓德中证500指数增强A,2025-04-17,,0.20195936262949088,,
021915,博道大盘价值股票A,2024-12-03,,0.07264166337908518,,
022954,华夏沪深300指数增强Y,2024-12-16,,0.19095613814289014,,0.013579897602451263
023630,鑫元中证A100指数A,2025-07-22,,0.07135879529388833,,
022981,天弘中证科创创业50ETF联接Y,2024-12-13,,0.7213642310719592,,-0.054878639512256466
023553,华泰柏瑞中证A股ETF发起式联接A,2025-07-17,,0.1203253268651403,,
022893,汇添富中证500指数增强Y,2024-12-16,,0.18496285046457883,,0.035844215555386194
022340,融通创业板ETF发起式联接A,2024-12-06,,0.43073844689332064,,
019340,西部利得研究精选混合A,2024-03-26,0.5088023731437363,0.09521988937284642,,0.011427792257820979
