code,name,ftype,channel,S_total,rating,F_value,val_pct,trend_ok,trend_ma20,bonus,F_alpha,ir_winrate,down_capture,F_momentum,mom_4m1m,mom_7m1m,rank4,rank7,scale,tenure_days,is_passive,penalty_str,water,weights_mode,last_date,error
012082,博时数字经济混合A,混合型-偏股,右侧,22.0,Sell/Avoid 红灯,0.0,0.7607,False,False,0,69.0,0.645,0.948,16.4,0.4129,0.5204,0.4153846153846154,0.4584615384615385,6.4,3496,False,回撤比值1.64(平滑22%)(-22%),0.839,标准,2026-07-31,
019702,易方达上证科创板成长ETF联接发起式A,指数型-股票,新星,21.9,Sell/Avoid 红灯,0.0,0.7621,False,False,0,53.6,0.833,1.122,81.4,0.6058,0.6662,0.6615384615384615,0.6092307692307692,4.57,205,True,回撤比值2.08(平滑44%)(-44%),0.839,标准,2026-07-31,
740001,长安宏观策略混合A,混合型-偏股,右侧,21.8,Sell/Avoid 红灯,0.0,0.7616,False,False,0,4.7,0.387,1.273,100.0,0.7793,0.8232,0.8592307692307692,0.7769230769230769,5.46,4205,False,回撤比值1.56(平滑18%)(-18%),0.839,标准,2026-07-31,
011188,信澳星奕混合A,混合型-偏股,左侧,21.8,Sell/Avoid 红灯,50.6,0.6944,True,True,20,30.9,0.419,0.955,0.0,-0.2975,-0.3306,0.0015384615384615385,0.005384615384615384,5.41,1895,False,回撤比值1.80(平滑30%)(-30%),0.839,标准,2026-07-31,
017512,广发北证50成份指数A,指数型-股票,左侧,21.8,Sell/Avoid 红灯,0.0,0.7736,False,False,0,70.1,0.516,0.729,0.0,-0.0639,-0.0987,0.13076923076923078,0.11538461538461539,3.94,4506,True,回撤比值1.42(平滑11%)(-11%),0.839,标准,2026-07-31,
007355,汇添富科技创新混合A,混合型-灵活,右侧,21.6,Sell/Avoid 红灯,0.0,0.7643,False,False,0,50.9,0.71,1.136,25.6,0.4501,0.5141,0.46615384615384614,0.4553846153846154,111.79,3796,False,回撤比值1.41(平滑11%)(-11%),0.839,标准,2026-07-31,
021792,华泰保兴产业升级混合发起A,混合型-偏股,新星,21.6,Sell/Avoid 红灯,0.0,0.7654,False,False,0,41.7,0.625,1.329,80.6,0.5163,0.8129,0.5492307692307692,0.7707692307692308,0.56,210,False,经理任期0年(归因平滑24%)(-24%); 回撤比值1.56(平滑18%)(-18%),0.839,标准,2026-07-31,
018325,国泰海通创新成长混合发起A,混合型-偏股,右侧,21.5,Sell/Avoid 红灯,0.0,0.7684,False,False,0,41.3,0.613,1.203,62.6,0.4614,0.7735,0.48,0.7307692307692307,20.51,1682,False,回撤比值1.77(平滑28%)(-28%),0.839,标准,2026-07-31,
010925,兴银科技增长1个月滚动混合A,混合型-偏股,右侧,21.5,Sell/Avoid 红灯,0.0,0.768,False,False,0,20.3,0.484,1.112,100.0,0.7186,0.8521,0.8138461538461539,0.803076923076923,1.2,146,False,经理任期0年(归因平滑26%)(-26%); 回撤比值1.39(平滑10%)(-10%),0.839,标准,2026-07-31,
017483,财通资管数字经济混合发起式A,混合型-偏股,右侧,21.5,Sell/Avoid 红灯,0.0,0.7704,False,False,0,55.4,0.774,1.087,30.3,0.4224,0.6128,0.4269230769230769,0.5523076923076923,7.1,2310,False,回撤比值1.60(平滑20%)(-20%),0.839,标准,2026-07-31,
011021,汇添富互联网核心资产六个月持有混合A,混合型-偏股,右侧,21.4,Sell/Avoid 红灯,0.0,0.7578,False,False,0,53.6,0.645,1.047,10.5,0.4252,0.4361,0.4338461538461538,0.3830769230769231,16.56,2028,False,,0.839,标准,2026-07-31,
008671,银华科技创新混合A,混合型-偏股,右侧,21.4,Sell/Avoid 红灯,0.0,0.7679,False,False,0,55.5,0.742,1.078,25.5,0.4776,0.4541,0.5046153846153846,0.39692307692307693,4.64,4087,False,回撤比值1.54(平滑17%)(-17%),0.839,标准,2026-07-31,
