date,code,S_eng,water,wv,wa,wm,val_pct,val_cov,trend_ok,ma20_dist,wr,dc,r4,r7,R_MDD,other_pen,F_value_eng,F_alpha_eng,F_mom_eng,fwd6,fwd12
2025-06-30,100056,0.0,0.7005,0.4,0.35,0.25,0.715,0.981,True,0.02108,0.355,1.222,-0.0877,-0.0905,1.081,1.0,0.0,0.0,0.0,0.3906,0.4995
2025-06-30,164304,0.0,0.7005,0.4,0.35,0.25,0.7063,0.986,True,0.02913,0.065,1.602,-0.0377,-0.1527,1.521,1.0,0.0,0.0,0.0,0.3235,0.2098
2025-06-30,240004,0.0,0.7005,0.4,0.35,0.25,0.7171,0.956,True,0.03587,0.452,1.846,-0.1004,-0.13,1.368,1.0,0.0,0.0,0.0,0.4192,0.2063
2025-06-30,161601,0.0,0.7005,0.4,0.35,0.25,0.7095,0.963,True,0.01844,0.129,1.648,-0.0137,-0.0301,0.959,1.0,0.0,0.0,0.0,0.2344,0.3274
2025-06-30,610001,0.0,0.7005,0.4,0.35,0.25,0.7123,0.958,True,0.05326,0.387,1.895,-0.0032,0.0874,1.543,1.0,0.0,0.0,0.0,0.1107,0.5496
2025-06-30,519918,0.0,0.7005,0.4,0.35,0.25,0.7034,0.972,True,0.01572,0.194,1.321,-0.0894,-0.2309,1.543,1.0,0.0,0.0,0.0,0.3533,0.237
2025-06-30,240005,0.0,0.7005,0.4,0.35,0.25,0.7107,0.96,True,0.0083,0.129,1.685,-0.0674,-0.0803,1.081,1.0,0.0,0.0,0.0,0.4043,0.7275
2025-06-30,000409,0.0,0.7005,0.4,0.35,0.25,0.7117,0.968,True,0.03659,0.194,1.272,-0.0703,-0.1492,1.616,1.0,0.0,0.0,0.0,0.4615,0.6762
2025-06-30,160314,0.0,0.7005,0.4,0.35,0.25,0.7087,0.974,True,0.01215,0.161,1.837,-0.0145,-0.0546,1.387,1.0,0.0,0.0,0.0,0.1804,0.334
2025-06-30,377530,0.0,0.7005,0.4,0.35,0.25,0.7126,0.986,False,-0.00604,0.194,1.56,-0.0119,-0.021,1.553,1.0,0.0,0.0,0.0,0.3048,0.2383
2025-06-30,163803,0.0,0.7005,0.4,0.35,0.25,0.7031,0.961,True,0.04105,0.032,1.781,-0.0306,-0.1052,1.308,1.0,0.0,0.0,0.0,0.3532,0.4318
2025-06-30,202007,0.0,0.7005,0.4,0.35,0.25,0.7102,0.985,True,0.02087,0.29,1.721,-0.0046,-0.0094,0.814,1.0,0.0,0.0,0.0,0.2097,0.2628
2025-06-30,519679,0.0,0.7005,0.4,0.35,0.25,0.7087,0.944,True,0.0313,0.032,1.474,-0.0639,-0.1327,1.603,1.0,0.0,0.0,0.0,0.3219,0.84
2025-06-30,020001,0.0,0.7005,0.4,0.35,0.25,0.7133,0.978,True,0.02442,0.194,1.855,-0.0672,-0.0255,1.443,1.0,0.0,0.0,0.0,0.4289,0.3323
2025-06-30,160211,0.0,0.7005,0.4,0.35,0.25,0.7104,0.967,True,0.00231,0.194,1.591,-0.0655,-0.1201,1.214,1.0,0.0,0.0,0.0,0.1817,0.255
2025-06-30,163801,0.0,0.7005,0.4,0.35,0.25,0.701,0.959,True,0.00784,0.032,1.601,-0.0071,-0.0733,1.51,1.0,0.0,0.0,0.0,0.0948,0.215
