code,share_code,canonical_fund_id,name,fund_type,status,inception_date,end_date,end_known_at,known_at,source,source_ts_code,as_of
020634,020634,020634,汇添富恒生生物科技ETF联接(QDII)-A,指数型-海外股票,存续,2024-03-01,,,2024-03-01,tushare_fund_basic,020634.OF,2024-03-31
020639,020639,020639,广发中证半导体材料设备主题ETF联接-A,指数型-股票,存续,2024-03-05,,,2024-03-05,tushare_fund_basic,020639.OF,2024-03-31
020647,020647,020647,诺安沪深300指数增强-D,指数型-股票,存续,2024-01-30,,,2024-01-30,tushare_fund_basic,020647.OF,2024-03-31
020667,020667,020667,富国创业板200ETF联接-A,指数型-股票,存续,2024-02-06,,,2024-02-06,tushare_fund_basic,020667.OF,2024-03-31
020670,020670,020670,易方达上证科创板芯片ETF联接-A,指数型-股票,存续,2024-01-31,,,2024-01-31,tushare_fund_basic,020670.OF,2024-03-31
020672,020672,020672,招商中证红利低波动100指数-A,指数型-股票,存续,2024-03-26,,,2024-03-26,tushare_fund_basic,020672.OF,2024-03-31
020682,020682,020682,建信环保产业股票-C,股票型,存续,2024-02-02,,,2024-02-02,tushare_fund_basic,020682.OF,2024-03-31
020685,020685,020685,南方上证科创板新材料ETF联接-A,指数型-股票,存续,2024-03-12,,,2024-03-12,tushare_fund_basic,020685.OF,2024-03-31
020712,020712,020712,华安三菱日联日经225ETF联接(QDII)-A,指数型-海外股票,存续,2024-02-07,,,2024-02-07,tushare_fund_basic,020712.OF,2024-03-31
020714,020714,020714,华安上证科创板50成份ETF联接-A,指数型-股票,存续,2024-03-12,,,2024-03-12,tushare_fund_basic,020714.OF,2024-03-31
020720,020720,020720,国寿安保高端装备股票-A,股票型,存续,2024-02-27,,,2024-02-27,tushare_fund_basic,020720.OF,2024-03-31
020722,020722,020722,国寿安保数字经济股票-A,股票型,存续,2024-03-14,,,2024-03-14,tushare_fund_basic,020722.OF,2024-03-31
020726,020726,020726,建信灵活配置混合-C,混合型-灵活,存续,2024-02-07,,,2024-02-07,tushare_fund_basic,020726.OF,2024-03-31
020729,020729,020729,华安中证全指软件开发ETF联接-A,指数型-股票,存续,2024-03-12,,,2024-03-12,tushare_fund_basic,020729.OF,2024-03-31
020753,020753,020753,华夏中证智选300成长创新策略ETF联接-A,指数型-股票,存续,2024-03-05,,,2024-03-05,tushare_fund_basic,020753.OF,2024-03-31
020768,020768,020768,中信保诚国企红利量化选股股票-A,股票型,存续,2024-03-22,,,2024-03-22,tushare_fund_basic,020768.OF,2024-03-31
020781,020781,020781,平安富时中国国企开放共赢ETF联接-A,指数型-股票,清盘,2024-03-26,2026-08-25,2026-08-25,2024-03-26,tushare_fund_basic,020781.OF,2024-03-31
020837,020837,020837,华夏创业板200ETF联接-A,指数型-股票,存续,2024-03-05,,,2024-03-05,tushare_fund_basic,020837.OF,2024-03-31
020839,020839,020839,南方中证半导体产业指数-A,指数型-股票,存续,2024-03-29,,,2024-03-29,tushare_fund_basic,020839.OF,2024-03-31
020870,020870,020870,华夏创业板指数-A,指数型-股票,存续,2024-03-26,,,2024-03-26,tushare_fund_basic,020870.OF,2024-03-31
020873,020873,020873,天弘上证科创板50成份指数-A,指数型-股票,存续,2024-02-28,,,2024-02-28,tushare_fund_basic,020873.OF,2024-03-31
