code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
690003,0.8708,0.4,0.35,0.25,0.78,0.968,True,0.323,1.81,-0.0821,0.037,1.529,1.0
420005,0.8708,0.4,0.35,0.25,0.7722,0.966,False,0.29,1.492,-0.102,0.0645,1.54,1.0
377530,0.8708,0.4,0.35,0.25,0.7638,0.989,False,0.29,1.64,-0.0527,0.0362,1.24,1.0
519150,0.8708,0.4,0.35,0.25,0.7114,0.973,False,0.194,1.242,-0.1308,-0.1131,1.017,1.0
270025,0.8708,0.4,0.35,0.25,0.7638,0.937,False,0.258,1.425,-0.1129,0.01,0.927,1.0
160625,0.8708,0.4,0.35,0.25,0.7178,0.98,True,0.258,1.488,-0.1527,-0.1406,1.011,1.0
000117,0.8708,0.4,0.35,0.25,0.7927,0.945,True,0.129,1.258,-0.0606,0.0056,1.103,1.0
240008,0.8708,0.4,0.35,0.25,0.7154,0.985,False,0.258,1.626,-0.0162,-0.0149,1.331,1.0
080012,0.8708,0.4,0.35,0.25,0.8106,0.979,True,0.194,1.387,-0.051,-0.0351,1.601,1.0
200007,0.8708,0.4,0.35,0.25,0.8184,0.979,True,0.161,1.38,-0.0485,0.0554,0.981,1.0
450009,0.8708,0.4,0.35,0.25,0.7089,0.974,False,0.161,1.315,-0.0456,-0.0158,0.943,1.0
580005,0.8708,0.4,0.35,0.25,0.7803,0.972,True,0.129,1.309,-0.0363,-0.0965,1.164,1.0
481012,0.8708,0.4,0.35,0.25,0.7135,0.951,False,0.226,1.491,-0.0683,-0.0258,0.855,1.0
320022,0.8708,0.4,0.35,0.25,0.8678,0.95,True,0.194,1.341,-0.1951,0.2403,1.163,1.0
310328,0.8708,0.4,0.35,0.25,0.8186,0.941,True,0.194,1.887,-0.1812,-0.0671,1.162,1.0
202007,0.8708,0.4,0.35,0.25,0.7714,0.969,True,0.226,1.728,-0.047,0.048,0.8,1.0
310388,0.8708,0.4,0.35,0.25,0.8397,0.943,True,0.226,1.522,-0.2039,-0.156,1.657,1.0
290004,0.8708,0.4,0.35,0.25,0.7212,0.979,True,0.194,2.028,-0.2384,-0.2052,1.516,1.0
400007,0.8708,0.4,0.35,0.25,0.8245,0.957,True,0.226,1.528,-0.0304,0.0153,0.932,1.0
160628,0.8708,0.4,0.35,0.25,0.7116,0.945,False,0.032,1.414,-0.1541,-0.1932,2.178,1.0
161721,0.8708,0.4,0.35,0.25,0.7086,0.957,False,0.032,1.539,-0.1761,-0.2303,2.695,1.0
163801,0.8708,0.4,0.35,0.25,0.8629,0.955,True,0.032,1.494,-0.0175,0.1055,1.318,1.0
350002,0.8708,0.4,0.35,0.25,0.8065,0.962,False,0.129,1.591,0.0216,-0.0104,1.66,1.0
162605,0.8708,0.4,0.35,0.25,0.8525,0.946,True,0.065,1.497,-0.0561,-0.1219,1.359,1.0
580003,0.8708,0.4,0.35,0.25,0.7845,0.969,True,0.097,2.162,-0.006,-0.073,1.533,1.0
620002,0.8708,0.4,0.35,0.25,0.868,0.953,True,0.161,1.498,-0.0505,0.1077,1.532,1.0
