date,code,name,S,rank_pct,F_value,F_alpha,F_mom,water,wv,wa,wm,R_MDD,mdd_f,mdd_b,top3,pens,fwd6,fwd12
2024-09-30,470009,142,13.2,0.3433,33.0,0.0,0.0,0.6495,0.4,0.35,0.25,1.099,-0.4493,-0.4088,0.305,,-0.0307,0.5153
2024-09-30,240005,143,13.2,0.3433,33.0,0.0,0.0,0.6495,0.4,0.35,0.25,0.983,-0.3996,-0.4064,0.291,,-0.0611,0.1493
2024-09-30,000591,144,12.5,0.3364,0.0,0.0,100.0,0.6495,0.4,0.35,0.25,1.225,-0.4151,-0.339,0.328,"回撤比值1.22∈(1.2,1.5](-50%)",-0.0606,0.1443
2024-09-30,000017,145,12.4,0.3318,30.9,0.0,0.0,0.6495,0.4,0.35,0.25,1.176,-0.4726,-0.402,0.319,,-0.1083,0.6164
2024-09-30,630011,146,12.3,0.3272,30.8,0.0,0.0,0.6495,0.4,0.35,0.25,1.074,-0.4257,-0.3963,0.286,,-0.1459,0.2545
2024-09-30,000362,147,11.8,0.3226,34.9,27.8,0.0,0.6495,0.4,0.35,0.25,1.264,-0.5264,-0.4165,0.306,"回撤比值1.26∈(1.2,1.5](-50%)",-0.0623,0.2811
2024-09-30,164304,148,11.1,0.318,36.5,0.0,30.0,0.6495,0.4,0.35,0.25,1.288,-0.5575,-0.433,0.33,"回撤比值1.29∈(1.2,1.5](-50%)",-0.1529,0.1605
2024-09-30,000689,149,10.9,0.3134,35.5,0.0,30.0,0.6495,0.4,0.35,0.25,1.307,-0.5654,-0.4327,0.347,"回撤比值1.31∈(1.2,1.5](-50%)",-0.042,0.2641
2024-09-30,320007,150,10.8,0.3041,35.1,0.0,30.0,0.6495,0.4,0.35,0.25,1.452,-0.6105,-0.4203,0.337,"回撤比值1.45∈(1.2,1.5](-50%)",0.228,0.4952
2024-09-30,000679,151,10.8,0.3041,35.4,21.3,0.0,0.6495,0.4,0.35,0.25,1.353,-0.5784,-0.4276,0.323,"回撤比值1.35∈(1.2,1.5](-50%)",0.0212,0.2595
2024-09-30,610001,152,10.8,0.3041,35.0,0.0,30.0,0.6495,0.4,0.35,0.25,1.403,-0.5889,-0.4198,0.349,"回撤比值1.40∈(1.2,1.5](-50%)",0.3973,0.6935
2024-09-30,050010,153,10.3,0.2926,32.9,0.0,30.0,0.6495,0.4,0.35,0.25,1.32,-0.5408,-0.4095,0.333,"回撤比值1.32∈(1.2,1.5](-50%)",0.0432,0.7821
2024-09-30,000697,154,10.3,0.2926,32.6,0.0,30.0,0.6495,0.4,0.35,0.25,1.219,-0.4937,-0.4049,0.329,"回撤比值1.22∈(1.2,1.5](-50%)",0.0155,0.6247
2024-09-30,050022,155,10.2,0.2834,32.2,0.0,30.0,0.6495,0.4,0.35,0.25,1.201,-0.4881,-0.4063,0.331,"回撤比值1.20∈(1.2,1.5](-50%)",0.079,0.8306
2024-09-30,630006,156,10.2,0.2834,32.4,0.0,30.0,0.6495,0.4,0.35,0.25,1.326,-0.5477,-0.413,0.34,"回撤比值1.33∈(1.2,1.5](-50%)",-0.0289,0.3535
2024-09-30,630001,157,10.0,0.2765,31.4,0.0,30.0,0.6495,0.4,0.35,0.25,1.305,-0.539,-0.4129,0.308,"回撤比值1.31∈(1.2,1.5](-50%)",-0.0416,0.2465
2024-09-30,000339,158,9.0,0.2719,36.1,9.9,0.0,0.6495,0.4,0.35,0.25,1.313,-0.5646,-0.4301,0.339,"回撤比值1.31∈(1.2,1.5](-50%)",0.0307,0.251
2024-09-30,519918,159,7.5,0.2673,37.3,0.0,0.0,0.6495,0.4,0.35,0.25,1.221,-0.5339,-0.4372,0.338,"回撤比值1.22∈(1.2,1.5](-50%)",-0.185,0.0679
2024-09-30,000523,160,7.3,0.2558,36.4,0.0,0.0,0.6495,0.4,0.35,0.25,1.301,-0.563,-0.4326,0.344,"回撤比值1.30∈(1.2,1.5](-50%)",0.017,0.2621
2024-09-30,470006,161,7.3,0.2558,36.3,0.0,0.0,0.6495,0.4,0.35,0.25,1.357,-0.5907,-0.4352,0.347,"回撤比值1.36∈(1.2,1.5](-50%)",0.0253,0.2024
2024-09-30,000878,162,7.3,0.2558,36.6,0.0,0.0,0.6495,0.4,0.35,0.25,1.257,-0.5475,-0.4355,0.345,"回撤比值1.26∈(1.2,1.5](-50%)",-0.0485,0.0552
2024-09-30,110005,163,7.3,0.2558,36.7,0.0,0.0,0.6495,0.4,0.35,0.25,1.286,-0.5572,-0.4332,0.339,"回撤比值1.29∈(1.2,1.5](-50%)",0.1041,0.4658
