family_key,root_cause_reason,checkpoint_count
长城基金管理有限公司|长城久富核心成长混合(LOF)-,PROPOSED_STATE_NOT_EFFECTIVE,2
长城基金管理有限公司|长城久富核心成长混合(LOF)-,TEXT_EXTRACTION_FAILED,1
长江证券(上海)资产管理有限公司|长江楚财一年持有期混合-,EQUITY_CLAUSE_NOT_FOUND,23
鹏华基金管理有限公司|鹏华兴嘉定开灵活配置混合,DATE_OR_STAGE_UNDETERMINED,1
鹏华基金管理有限公司|鹏华兴嘉定开灵活配置混合,OFFICIAL_DOCUMENT_NOT_FOUND,1
鹏华基金管理有限公司|鹏华兴泰定开灵活配置混合,DATE_OR_STAGE_UNDETERMINED,1
鹏华基金管理有限公司|鹏华兴泰定开灵活配置混合,DOCUMENT_NOT_APPLICABLE,4
鹏华基金管理有限公司|鹏华兴泰定开灵活配置混合,INVESTMENT_SECTION_NOT_FOUND,3
鹏华基金管理有限公司|鹏华兴泰定开灵活配置混合,PARSED_CLAUSE,3
鹏华基金管理有限公司|鹏华悦享一年持有期混合-,DATE_OR_STAGE_UNDETERMINED,1
鹏华基金管理有限公司|鹏华悦享一年持有期混合-,PARSED_CLAUSE,2
